ts,value,resource,scope
1707160147,0.024533333333333338,mutatingwebhookconfigurations,cluster
1707160147,0.0248,clusteradmissionreports,cluster
1707160147,0.041659092079887265,clusterroles,cluster
1707160147,0.04300000000000006,validatingwebhookconfigurations,cluster
1707160147,0.024800000000000003,verticalpodautoscalers,namespace
1707160147,0.02235999999999998,verticalpodautoscalercheckpoints,namespace
1707160147,0.03537500074404683,nodes,cluster
1707160147,0.036428570128768406,clusterrings,cluster
1707160147,0.0049499999999999995,events,namespace
1707160147,0.024677955288086733,resourcequotas,namespace
1707160147,0.03642857474489005,leases,namespace
1707160147,0.02342500000000001,horizontalpodautoscalers,namespace
1707160147,0.3926400008761889,services,cluster
1707160147,0.0479,pods,namespace
1707160147,0.024549999999999992,horizontalpodautoscalers,cluster
1707160147,0.00495,limitranges,namespace
1707160147,0.0248,admissionreports,cluster
1707160147,0.047330000546665515,themes,cluster
1707160147,0.398,customresourcedefinitions,cluster
1707160147,0.04159375409225213,namespaces,cluster
1707160147,0.09300000000000005,secrets,namespace
